제목,링크
fc온라인 인테르 키퍼,https://kin.naver.com/qna/detail.naver?d1id=13&dirId=130304&docId=467272084&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=1&search_sort=0&spq=0
인테르 프리시즌 경기,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=1001010202&docId=451140713&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=2&search_sort=0&spq=0
인테르 스쿼드,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=1001010202&docId=466070770&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=3&search_sort=0&spq=0
인테르 / 맨유 / 첼시,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=1001010202&docId=465340978&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=4&search_sort=0&spq=0
인테르 챔피언스 리그,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=1001010202&docId=464837338&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=5&search_sort=0&spq=0
피파 인테르 키퍼,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=1001010202&docId=464322309&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=6&search_sort=0&spq=0
피파 인테르 2500억 급여240,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=1001010202&docId=451387531&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=7&search_sort=0&spq=0
오늘 챔스 at마드리드 vs 인테르,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=10010404&docId=466184060&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=8&search_sort=0&spq=0
인테르 등번호 겹치지 않게 알려주세요,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=1001010202&docId=449104206&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=9&search_sort=0&spq=0
인테르 유니폼 22-23 vs 23-24,https://kin.naver.com/qna/detail.naver?d1id=10&dirId=1001010202&docId=456088066&qb=7J247YWM66W0&enc=utf8§ion=kin.qna_ency&rank=10&search_sort=0&spq=0
